name,age,salary
John,25,5000
Alice,,7000
Bob,abc,4000
Tom,30,
Sarah,28,6500
Mike,35,8000
Emma,22,4500
David,40,9500
Lisa,,3000
James,27,5500
Anna,abc,7500
Chris,33,8500
Rachel,29,6000
Kevin,45,11000
Maria,26,5200
Peter,38,9000
Sophie,24,4800
Daniel,31,7200
Laura,,5800
Mark,55,12000
Helen,abc,6800
Andrew,36,8800
Claire,23,4200
Robert,42,10500
Jessica,28,6200
William,37,9200
Amanda,abc,5600
Thomas,44,10000
Nicole,27,5300
Stephen,32,7800
Michelle,29,6400
Gary,,8200
Rebecca,34,7600
Jonathan,26,5100
Katherine,41,9800
Paul,abc,7100
Elizabeth,30,6600
Brian,47,11500
Jennifer,25,4900
Scott,36,8600
Patricia,33,7400
Ronald,abc,9100
Sandra,,6300
Timothy,29,5700
Dorothy,43,10200
Jeffrey,28,6100
Carol,37,9400
Ryan,abc,7900
Sharon,31,7000
Douglas,26,5400
